"Class","Library","Total Instances","Total Size","Total Dart Heap Size","Total External Size","New Space Instances","New Space Size","New Space Dart Heap Size","New Space External Size","Old Space Instances","Old Space Size","Old Space Dart Heap Size","Old Space External Size"
Value,package:drift/src/runtime/data_class.dart,52,1664,1664,0,0,0,0,0,52,1664,1664,0
ExpenseCategory,package:expense_app_new/database/database.dart,45,1440,1440,0,0,0,0,0,45,1440,1440,0
PieChartSectionData,package:fl_chart/src/chart/pie_chart/pie_chart_data.dart,16,1024,1024,0,8,512,512,0,8,512,512,0
Expense,package:expense_app_new/database/database.dart,20,960,960,0,0,0,0,0,20,960,960,0
ProviderElement,package:riverpod/src/provider.dart,7,896,896,0,0,0,0,0,7,896,896,0
NativeLibrary,package:sqlite3/src/ffi/generated/dynamic_library.dart,1,736,736,0,0,0,0,0,1,736,736,0
ProxyElementValueNotifier,package:riverpod/src/listenable.dart,15,720,720,0,0,0,0,0,15,720,720,0
StreamProviderElement,package:riverpod/src/stream_provider.dart,5,720,720,0,0,0,0,0,5,720,720,0
ConsumerStatefulElement,package:flutter_riverpod/src/consumer.dart,6,672,672,0,0,0,0,0,6,672,672,0
GeneratedColumn,package:drift/src/runtime/query_builder/query_builder.dart,8,640,640,0,0,0,0,0,8,640,640,0
Matrix4,package:vector_math/vector_math_64.dart,36,576,576,0,2,32,32,0,34,544,544,0
ResultData,package:riverpod/src/result.dart,35,560,560,0,0,0,0,0,35,560,560,0
StreamProvider,package:riverpod/src/stream_provider.dart,11,528,528,0,1,48,48,0,10,480,480,0
